UID        PID  PPID  C STIME TTY          TIME CMD
vcmgz8   17085     1  0 Sep15 ?        00:00:18 /usr/bin/perl /usr/bin/dfshack /mnt/dfs/vcmgz8/Users/vcmgz8 /nethome/users/vcmgz8 -o nonempty,allow_root,dev,suid
vcmgz8   17363     1  0 Sep15 ?        00:00:00 /usr/bin/lsyncd -pidfile /tmp/vcmgz8.lsyncd -direct /usr/local/home/vcmgz8 /nethome/users/vcmgz8/linuxhome
atg7w6   20100     1  0 17:04 ?        00:00:00 /usr/bin/perl /usr/bin/dfshack /mnt/dfs/atg7w6/Users/atg7w6 /nethome/users/atg7w6 -o nonempty,allow_root,dev,suid
vcmgz8   21873     1  0 Sep15 ?        00:00:00 script mySession1
vcmgz8   21874 21873  0 Sep15 pts/5    00:00:00 bash -i
root     22092     2  0 11:02 ?        00:00:02 [kworker/u2:1]
root     22205     2  0 Sep17 ?        00:00:06 [kworker/u2:2]
root     23328  1019  0 12:21 ?        00:00:00 sshd: cavqm6 [priv] 
cavqm6   23337     1  0 12:21 ?        00:00:00 /usr/bin/perl /usr/bin/dfshack /mnt/dfs/cavqm6/Users/cavqm6 /nethome/users/cavqm6 -o nonempty,allow_root,dev,suid
cavqm6   23384 23328  0 12:21 ?        00:00:07 sshd: cavqm6@pts/4  
cavqm6   23385 23384  0 12:21 pts/4    00:00:00 -bash
cavqm6   23404     1  0 12:21 ?        00:00:00 /usr/bin/lsyncd -pidfile /tmp/cavqm6.lsyncd -direct /usr/local/home/cavqm6 /nethome/users/cavqm6/linuxhome
root     25545  1019  0 18:18 ?        00:00:00 sshd: cywm94 [priv] 
cywm94   25554     1  0 18:18 ?        00:00:05 /usr/bin/perl /usr/bin/dfshack /mnt/dfs/cywm94/Users/cywm94 /nethome/users/cywm94 -o nonempty,allow_root,dev,suid
root     25556     2  0 18:18 ?        00:00:01 [cifsd]
root     25565     2  0 18:18 ?        00:00:00 [cifsd]
cywm94   25601 25545  0 18:18 ?        00:00:00 sshd: cywm94@pts/6  
cywm94   25602 25601  0 18:18 pts/6    00:00:00 -bash
cywm94   25621     1  0 18:18 ?        00:00:00 /usr/bin/lsyncd -pidfile /tmp/cywm94.lsyncd -direct /usr/local/home/cywm94 /nethome/users/cywm94/linuxhome
root     26657  1019  0 17:46 ?        00:00:00 sshd: rclwxc [priv] 
rclwxc   26666     1  0 17:46 ?        00:00:00 /usr/bin/perl /usr/bin/dfshack /mnt/dfs/rclwxc/Users/rclwxc /nethome/users/rclwxc -o nonempty,allow_root,dev,suid
rclwxc   26753 26657  0 17:46 ?        00:00:00 sshd: rclwxc@pts/7  
rclwxc   26754 26753  0 17:46 pts/7    00:00:00 -bash
rclwxc   26773     1  0 17:46 ?        00:00:00 /usr/bin/lsyncd -pidfile /tmp/rclwxc.lsyncd -direct /usr/local/home/rclwxc /nethome/users/rclwxc/linuxhome
root     27573     2  0 18:20 ?        00:00:00 [kworker/0:0]
root     28692     2  0 18:21 ?        00:00:00 [cifsd]
root     31665  1019  0 18:24 ?        00:00:00 sshd: eamp68 [priv] 
eamp68   31717 31665  0 18:24 ?        00:00:00 sshd: eamp68@pts/10 
eamp68   31718 31717  0 18:24 pts/10   00:00:00 -bash
eamp68   31737     1  0 18:24 ?        00:00:00 /usr/bin/lsyncd -pidfile /tmp/eamp68.lsyncd -direct /usr/local/home/eamp68 /nethome/users/eamp68/linuxhome
